Latitude,Longitude,NDVI,Soil_Moisture,Elevation,Fertility,Fertility_Level
20.92450282876022,74.40246933379312,0.12108466,0.0661157,-14.53448,558.0,High
20.924233334174986,74.40246933379312,0.12133337,0.06887052,-11.864333,566.0,High
20.92396383958975,74.40246933379312,0.16528247,0.19283746,-10.387244,572.0,High
20.923694345004513,74.40246933379312,0.15794992,0.17906336,-12.246175,578.0,High
20.923424850419277,74.40246933379312,0.15690143,0.17906336,-11.407797,582.0,High
20.92315535583404,74.40246933379312,0.15687811,0.16804408,-9.8956585,585.0,High
20.922885861248805,74.40246933379312,0.16574988,0.19008264,-9.249923,587.0,High
20.92261636666357,74.40246933379312,0.15572341,0.16528925,-9.670994,588.0,High
20.922346872078332,74.40246933379312,0.14667623,0.14600551,-10.732275,589.0,High
20.922077377493096,74.40246933379312,0.15357856,0.15977961,-10.57471,587.0,High
20.921807882907864,74.40246933379312,0.1572284,0.15977961,-10.860686,585.0,High
20.921538388322627,74.40246933379312,0.14716852,0.13498622,-10.471921,584.0,High
20.92126889373739,74.40246933379312,0.14389077,0.121212125,-10.5048485,583.0,High
20.920999399152155,74.40246933379312,0.15551348,0.1570248,-10.501805,582.0,High
20.92072990456692,74.40246933379312,0.17155023,0.2093664,-9.357539,580.0,High
20.920460409981683,74.40246933379312,0.16065332,0.1707989,-7.3260393,577.0,High
20.920190915396446,74.40246933379312,0.1689598,0.19008264,-5.0662646,577.0,High
20.91992142081121,74.40246933379312,0.1593045,0.16253443,-7.270958,573.0,High
20.919651926225974,74.40246933379312,0.15090778,0.14876033,-8.324864,567.0,High
20.919382431640738,74.40246933379312,0.15622725,0.15977961,-8.198305,559.0,High
20.919112937055502,74.40246933379312,0.16836862,0.2093664,-7.263821,555.0,High
20.91884344247027,74.40246933379312,0.17025332,0.20110193,-8.056439,550.0,High
20.918573947885033,74.40246933379312,0.16438898,0.20110193,-9.439094,547.0,High
20.918304453299797,74.40246933379312,0.15124005,0.13774104,-9.79165,546.0,High
20.91803495871456,74.40246933379312,0.16455473,0.19008264,-9.662628,544.0,High
20.917765464129324,74.40246933379312,0.15624945,0.1707989,-10.095852,543.0,High
20.91749596954409,74.40246933379312,0.1453603,0.121212125,-10.019831,543.0,High
20.917226474958852,74.40246933379312,0.13620836,0.09641873,-10.676025,543.0,High
20.916956980373616,74.40246933379312,0.14050461,0.1184573,-10.863102,543.0,High
20.91668748578838,74.40246933379312,0.15651798,0.15151516,-9.35493,544.0,High
20.916417991203144,74.40246933379312,0.17372216,0.20110193,-9.092138,541.0,High
20.916148496617907,74.40246933379312,0.13777402,0.09641873,-11.119306,540.0,High
20.915879002032675,74.40246933379312,0.14773473,0.11570248,-12.1358595,544.0,High
20.91560950744744,74.40246933379312,0.14351027,0.09917355,-11.878639,550.0,High
20.915340012862202,74.40246933379312,0.13463786,0.08815427,-12.872568,556.0,High
20.915070518276966,74.40246933379312,0.1419866,0.1184573,-11.434592,562.0,High
20.91480102369173,74.40246933379312,0.1654342,0.16528925,-10.731754,564.0,High
20.914531529106494,74.40246933379312,0.15961058,0.14600551,-9.985059,568.0,High
20.914262034521258,74.40246933379312,0.1776604,0.2093664,-8.514494,573.0,High
20.91399253993602,74.40246933379312,0.16877596,0.19283746,-1.9346715,565.0,High
20.913723045350785,74.40246933379312,0.14952254,0.12947658,2.027734,547.0,High
20.91345355076555,74.40246933379312,0.14155011,0.09366391,1.3969401,536.0,High
20.913184056180313,74.40246933379312,0.16767469,0.19283746,-6.9798756,529.0,High
20.912914561595077,74.40246933379312,0.16469197,0.18181819,-10.685918,526.0,High
20.912645067009844,74.40246933379312,0.16414854,0.21763085,-10.439868,529.0,High
20.912375572424608,74.40246933379312,0.17520134,0.23415978,-9.427372,533.0,High
20.912106077839372,74.40246933379312,0.1432944,0.1322314,-10.036297,537.0,High
20.911836583254136,74.40246933379312,0.15353227,0.1570248,-11.501996,541.0,High
20.9115670886689,74.40246933379312,0.15183322,0.12947658,-11.820108,549.0,High
20.911297594083663,74.40246933379312,0.17010166,0.2093664,-11.104076,558.0,High
20.911028099498427,74.40246933379312,0.1793573,0.24242425,-10.511639,558.0,High
20.91075860491319,74.40246933379312,0.17549948,0.23415978,-9.002484,567.0,High
20.910489110327955,74.40246933379312,0.17786649,0.23966943,-9.20243,574.0,High
20.91021961574272,74.40246933379312,0.17509592,0.21763085,-10.0632925,574.0,High
20.909950121157483,74.40246933379312,0.16211034,0.19008264,-10.506161,572.0,High
20.90968062657225,74.40246933379312,0.14845747,0.14876033,-11.493995,573.0,High
20.909411131987014,74.40246933379312,0.14762218,0.14049587,-12.255956,575.0,High
20.909141637401778,74.40246933379312,0.1514488,0.15977961,-11.858457,576.0,High
20.90887214281654,74.40246933379312,0.14353979,0.12672177,-11.787072,575.0,High
20.908602648231305,74.40246933379312,0.116142035,0.071625344,-11.941999,576.0,High
20.90833315364607,74.40246933379312,0.12379283,0.08539945,-12.005014,577.0,High
20.908063659060833,74.40246933379312,0.12356155,0.08539945,-13.2037735,578.0,High
20.907794164475597,74.40246933379312,0.12681572,0.08815427,-12.385061,578.0,High
20.90752466989036,74.40246933379312,0.14003861,0.12396694,-10.221814,577.0,High
20.907255175305124,74.40246933379312,0.19430579,0.2892562,-9.0314665,576.0,High
20.906985680719888,74.40246933379312,0.18299834,0.2506887,-9.205525,576.0,High
20.906716186134656,74.40246933379312,0.15656646,0.19008264,-10.06137,575.0,High
20.90644669154942,74.40246933379312,0.12891518,0.11294766,-12.6196375,575.0,High
20.906177196964183,74.40246933379312,0.13080707,0.110192835,-13.352478,575.0,High
20.905907702378947,74.40246933379312,0.13090812,0.09366391,-13.099161,573.0,High
20.90563820779371,74.40246933379312,0.13389415,0.09366391,-12.108092,574.0,High
20.905368713208475,74.40246933379312,0.13167909,0.08815427,-12.463156,573.0,High
20.90509921862324,74.40246933379312,0.12380825,0.08815427,-13.319296,571.0,High
20.904829724038002,74.40246933379312,0.122166954,0.07438017,-14.6970625,570.0,High
20.904560229452766,74.40246933379312,0.1167934,0.063360885,-15.383128,571.0,High
20.90429073486753,74.40246933379312,0.12143007,0.06887052,-14.817913,570.0,High
20.904021240282294,74.40246933379312,0.11672206,0.063360885,-15.682417,569.0,High
20.90375174569706,74.40246933379312,0.11165315,0.041322313,-13.301879,569.0,High
20.903482251111825,74.40246933379312,0.11506515,0.05785124,-13.5023365,569.0,High
20.90321275652659,74.40246933379312,0.123264804,0.06887052,-12.449544,569.0,High
20.902943261941353,74.40246933379312,0.16339049,0.19008264,-10.159744,569.0,High
20.902673767356116,74.40246933379312,0.17603093,0.23415978,-9.666045,568.0,High
20.90240427277088,74.40246933379312,0.18116952,0.23966943,-8.021006,566.0,High
20.902134778185644,74.40246933379312,0.18710628,0.26721764,-9.0657215,566.0,High
20.901865283600408,74.40246933379312,0.17045116,0.2093664,-9.442217,566.0,High
20.901595789015172,74.40246933379312,0.17576005,0.21487603,-9.03655,568.0,High
20.901326294429936,74.40246933379312,0.14908235,0.15151516,-10.930173,570.0,High
20.9010567998447,74.40246933379312,0.12944825,0.101928376,-12.686849,571.0,High
20.900787305259467,74.40246933379312,0.1236759,0.07713499,-12.307652,573.0,High
20.90051781067423,74.40246933379312,0.1211296,0.071625344,-12.75283,574.0,High
20.900248316088994,74.40246933379312,0.12822938,0.079889804,-13.652848,572.0,High
20.89997882150376,74.40246933379312,0.13161471,0.101928376,-12.275757,570.0,High
20.899709326918522,74.40246933379312,0.12982918,0.08815427,-11.409771,571.0,High
20.899439832333286,74.40246933379312,0.14575909,0.12672177,-11.241037,572.0,High
20.89917033774805,74.40246933379312,0.16265534,0.17355372,-10.181046,572.0,High
20.898900843162814,74.40246933379312,0.1753409,0.22038567,-9.42343,571.0,High
20.898631348577577,74.40246933379312,0.13659042,0.11570248,-10.672105,570.0,High
20.89836185399234,74.40246933379312,0.14005609,0.1184573,-11.0086355,569.0,High
20.898092359407105,74.40246933379312,0.14888436,0.14876033,-10.330867,570.0,High
20.897822864821872,74.40246933379312,0.13870868,0.11294766,-10.674966,571.0,High
20.897553370236636,74.40246933379312,0.14973159,0.1570248,-10.093212,570.0,High
20.8972838756514,74.40246933379312,0.14549337,0.13774104,-9.676104,567.0,High
20.897014381066164,74.40246933379312,0.15246938,0.15977961,-9.49242,566.0,High
20.896744886480928,74.40246933379312,0.16483302,0.1983471,-9.823017,565.0,High
20.89647539189569,74.40246933379312,0.16474079,0.19559228,-8.987738,565.0,High
20.896205897310455,74.40246933379312,0.15969087,0.18181819,-10.105506,565.0,High
20.89593640272522,74.40246933379312,0.15284793,0.16253443,-10.646609,566.0,High
20.895666908139983,74.40246933379312,0.1506747,0.1570248,-11.178315,567.0,High
20.895397413554747,74.40246933379312,0.14973684,0.15151516,-10.334649,567.0,High
20.89512791896951,74.40246933379312,0.14486066,0.14325069,-11.307513,566.0,High
20.894858424384275,74.40246933379312,0.15770121,0.19559228,-10.226572,565.0,High
20.894588929799042,74.40246933379312,0.1491955,0.14876033,-11.022476,564.0,High
20.894319435213806,74.40246933379312,0.15264203,0.1570248,-11.55894,565.0,High
20.89404994062857,74.40246933379312,0.15286306,0.16253443,-10.611946,565.0,High
20.893780446043333,74.40246933379312,0.14657842,0.13774104,-10.6093855,563.0,High
20.893510951458097,74.40246933379312,0.15787967,0.19008264,-10.633667,563.0,High
20.89324145687286,74.40246933379312,0.15203322,0.15977961,-9.584857,562.0,High
20.892971962287625,74.40246933379312,0.15197149,0.14325069,-9.775851,562.0,High
20.89270246770239,74.40246933379312,0.14874119,0.14049587,-10.463828,561.0,High
20.892432973117153,74.40246933379312,0.14943998,0.14600551,-10.124073,558.0,High
20.892163478531916,74.40246933379312,0.14169604,0.110192835,-9.790118,556.0,High
20.89189398394668,74.40246933379312,0.14472525,0.11570248,-8.514375,553.0,High
20.891624489361448,74.40246933379312,0.14561315,0.11570248,-8.626802,551.0,High
20.89135499477621,74.40246933379312,0.15691401,0.14876033,-7.7178116,550.0,High
20.891085500190975,74.40246933379312,0.14254455,0.09090909,-5.5287447,546.0,High
20.89081600560574,74.40246933379312,0.121590726,0.046831954,-4.100239,535.0,High
20.890546511020503,74.40246933379312,0.12235135,0.041322313,-2.3401926,519.0,High
20.890277016435267,74.40246933379312,0.11237308,0.035812672,-2.5981514,509.0,High
20.89000752185003,74.40246933379312,0.122485794,0.049586777,-2.894942,503.0,High
20.889738027264794,74.40246933379312,0.13499722,0.07438017,-4.411636,490.0,High
20.889468532679558,74.40246933379312,0.14393245,0.101928376,-5.471981,471.0,High
20.889199038094322,74.40246933379312,0.17440085,0.21763085,-6.0355105,461.0,High
20.888929543509086,74.40246933379312,0.19973491,0.29476583,-7.329107,455.0,High
20.888660048923853,74.40246933379312,0.2680865,0.56749314,-8.098094,453.0,High
20.888390554338617,74.40246933379312,0.2432063,0.4903581,-8.255824,451.0,High
20.88812105975338,74.40246933379312,0.23975258,0.45179063,-8.480782,447.0,High
20.887851565168145,74.40246933379312,0.17209041,0.1570248,-8.9845705,445.0,High
20.88758207058291,74.40246933379312,0.16432534,0.1322314,-9.439801,445.0,High
20.887312575997672,74.40246933379312,0.16617228,0.1570248,-9.339589,446.0,High
20.887043081412436,74.40246933379312,0.16548565,0.21487603,-8.925745,446.0,High
20.8867735868272,74.40246933379312,0.15928775,0.21487603,-10.503272,445.0,High
20.886504092241964,74.40246933379312,0.16585812,0.2231405,-10.904811,443.0,High
20.886234597656728,74.40246933379312,0.13192177,0.15426998,-11.896937,441.0,High
20.88596510307149,74.40246933379312,0.10631058,0.09366391,-12.632414,441.0,High
20.88569560848626,74.40246933379312,0.0870288,0.038567495,-13.187092,440.0,High
20.885426113901023,74.40246933379312,0.052802484,0.016528925,-13.8585615,439.0,High
20.885156619315786,74.40246933379312,0.05935746,0.044077136,-13.850237,440.0,High
20.88488712473055,74.40246933379312,0.025509521,0.002754821,-18.655645,443.0,High
20.884617630145314,74.40246933379312,0.103641815,0.079889804,-14.32659,446.0,High
20.884348135560078,74.40246933379312,0.13926716,0.15977961,-11.364389,450.0,High
20.884078640974842,74.40246933379312,0.13778803,0.15426998,-12.481889,454.0,High
20.883809146389606,74.40246933379312,0.17555277,0.2231405,-11.171004,454.0,High
20.88353965180437,74.40246933379312,0.15830179,0.14876033,-11.293965,458.0,High
20.883270157219133,74.40246933379312,0.12820527,0.09641873,-13.092776,464.0,High
20.883000662633897,74.40246933379312,0.12199635,0.071625344,-13.545915,468.0,High
20.882731168048664,74.40246933379312,0.12307179,0.07438017,-10.540472,470.0,High
20.88246167346343,74.40246933379312,0.13395081,0.09366391,-9.215715,468.0,High
20.882192178878192,74.40246933379312,0.15531409,0.15151516,-8.253644,465.0,High
